term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_5.05,0.0023684943722833,0.0007953087331937907,2.9780816850482923,0.0029005869424712,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.06,-0.0017064968789113,0.0013907114019107,-1.2270675832287463,0.2197971915934889,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.07,-0.000197783951205005,9.33754116687318e-05,-2.1181588136573217,0.0341616208227752,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.08,-0.00034001685567291,0.000993680050431453,-0.3421794123020539,0.7322158779703046,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_7.01,0.00099992190523537,0.0001039297257933404,9.621134835125709,6.510932142707267e-22,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_8.01,0.0042489370402363,8.783749292586146e-05,48.37270394115901,0.0,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_9.01,0.0015233543876073,8.258415169070239e-05,18.44608628193745,5.606678750880901e-76,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.01,0.0025462082990607,6.0206596924880496e-05,42.2911845065358,0.0,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_1.02,0.0001965027688404878,0.0001377260339887613,1.426765609590724,0.1536474681177734,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_1.03,0.0151012105587351,0.0014801484896352,10.202497022752146,1.9324117389226182e-24,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_1.04,0.0013179379068725,0.000829269581477048,1.5892755942224992,0.1119981873644631,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_1.05,-0.0011418043708258,0.0020433125612916,-0.5588006418871241,0.5762977847945567,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_2.01,-0.0001303535446343022,0.00013407977950506973,-0.9722088231012742,0.3309466728896404,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_2.02,0.0028116959957647,6.576967422253689e-05,42.75064501994024,0.0,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_2.03,-0.0026968291098076,7.987947970417846e-05,-33.76122528332666,7.324823323595483e-250,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_2.04,0.0010918272073764,0.0005329676508409233,2.0485806327152223,0.0405031409723101,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_2.05,0.0011798640594217,0.00024535860643715016,4.8087331296608005,1.518898968857004e-06,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
Item_2.06,0.00034894735343082725,0.0004340797494256725,0.8038784437479903,0.4214671811796754,lag_vol_33per,Total Volume,24 hours,Pre,Not Retail
